award,year,best_picture_cast,best_male_lead,best_male_support,best_female_lead,best_female_support,win
Screen Actors Guild Award,2001,Gladiator,Geoffrey Rush,Joaquin Phoenix,Laura Linney,Kate Winslet,False
Screen Actors Guild Award,2000,American Beauty,Kevin Spacey,Michael Caine,Annette Bening,Angelina Jolie,True
Screen Actors Guild Award,2000,Being John Malkovich,Jim Carrey,Chris Cooper,Janet McTeer,Cameron Diaz,False
Screen Actors Guild Award,2000,The Cider House Rules,Russell Crowe,Tom Cruise,Julianne Moore,Catherine Keener,False
Screen Actors Guild Award,2000,The Green Mile,Philip Seymour Hoffman,Michael Clarke Duncan,Meryl Streep,Julianne Moore,False
Screen Actors Guild Award,2000,Magnolia,Denzel Washington,Haley Joel Osment,Hilary Swank,Chloë Sevigny,False
Screen Actors Guild Award,1999,Shakespeare in Love,Roberto Benigni,Robert Duvall,Gwyneth Paltrow,Kathy Bates,True
Screen Actors Guild Award,1999,Life Is Beautiful,Joseph Fiennes,James Coburn,Cate Blanchett,Brenda Blethyn,False
Screen Actors Guild Award,1999,Little Voice,Tom Hanks,David Kelly,Jane Horrocks,Judi Dench,False
Screen Actors Guild Award,1999,Saving Private Ryan,Ian McKellen,Geoffrey Rush,Meryl Streep,Rachel Griffiths,False
Screen Actors Guild Award,1999,Waking Ned Devine,Nick Nolte,Billy Bob Thornton,Emily Watson,Lynn Redgrave,False
Screen Actors Guild Award,1998,The Full Monty,Jack Nicholson,Robin Williams,Helen Hunt,Kim Basinger,True
Screen Actors Guild Award,1998,Boogie Nights,Matt Damon,Billy Connolly,Helena Bonham Carter,Gloria Stuart**,False
Screen Actors Guild Award,1998,Good Will Hunting,Robert Duvall,Anthony Hopkins,Judi Dench,Minnie Driver,False
Screen Actors Guild Award,1998,L.A. Confidential,Peter Fonda,Greg Kinnear,Pam Grier,Alison Elliott,False
Screen Actors Guild Award,1998,Titanic,Dustin Hoffman,Burt Reynolds,Kate Winslet,Julianne Moore,False
Screen Actors Guild Award,1998,na,na,na,Robin Wright Penn,na,False
Screen Actors Guild Award,1997,The Birdcage,Tom Cruise,Hank Azaria,Brenda Blethyn,Lauren Bacall,True
Screen Actors Guild Award,1997,The English Patient,Ralph Fiennes,Cuba Gooding Jr.,Diane Keaton,Juliette Binoche,False
Screen Actors Guild Award,1997,Marvin's Room,Woody Harrelson,Nathan Lane,Frances McDormand,Marisa Tomei,False
Screen Actors Guild Award,1997,Shine,Geoffrey Rush,William H. Macy,Gena Rowlands,Gwen Verdon,False
Screen Actors Guild Award,1997,Sling Blade,Billy Bob Thornton,Noah Taylor,Kristin Scott Thomas,Renee Zellweger,False
Screen Actors Guild Award,1996,Apollo 13,Nicolas Cage,Kevin Bacon,Joan Allen,Stockard Channing,True
Screen Actors Guild Award,1996,Get Shorty,Anthony Hopkins,Kenneth Branagh,Susan Sarandon,Anjelica Huston,False
Screen Actors Guild Award,1996,How To Make An American Quilt,James Earl Jones,Don Cheadle,Elisabeth Shue,Mira Sorvino,False
Screen Actors Guild Award,1996,Nixon,Sean Penn,Ed Harris,Meryl Streep,Mare Winningham,False
Screen Actors Guild Award,1996,Sense and Sensibility,Massimo Troisi,Kevin Spacey,Emma Thompson,Kate Winslet,False
Screen Actors Guild Award,1995,na,Morgan Freeman,Martin Landau,Jodie Foster,Dianne Wiest,True
Screen Actors Guild Award,1995,na,Tom Hanks,Samuel L. Jackson,Jessica Lange,Jamie Lee Curtis,False
Screen Actors Guild Award,1995,na,Paul Newman,Chazz Palminteri,Meg Ryan,Sally Field,False
Screen Actors Guild Award,1995,na,Tim Robbins,Gary Sinise,Susan Sarandon,Uma Thurman,False
Screen Actors Guild Award,1995,na,John Travolta,JOHN TURTURRO,Meryl Streep,Robin Wright,False
