,year,best_drama,best_comedy,best_actor_drama,best_actor_comedy,best_supporting_actor,best_actress_drama,best_actress_comedy,best_supporting_actress,win,award
49,2010,Inglourious Basterds,Julie & Julia,George Clooney,Joseph Gordon-Levitt,Christopher Plummer,Carey Mulligan,Julia Roberts,Julianne Moore,False,Golden Globes
50,2010,Precious: Based On The Novel Push By Sapphire,Nine,Colin Firth,Michael Stuhlbarg,Stanley Tucci,Gabourey Sidibe,Meryl Streep,Penélope Cruz,False,Golden Globes
51,2009,Slumdog Millionaire,Vicky Cristina Barcelona,Mickey Rourke,Colin Farrell,Heath Ledger,Kate Winslet,Sally Hawkins,Kate Winslet,True,Golden Globes
52,2009,The Curious Case of Benjamin Button,Burn After Reading,Brad Pitt,James Franco,Robert Downey Jr.,Meryl Streep,Rebecca Hall,Amy Adams,False,Golden Globes
53,2009,Frost/Nixon,Happy-Go-Lucky,Leonardo DiCaprio,Brendan Gleeson,Ralph Fiennes,Anne Hathaway,Frances McDormand,Penélope Cruz,False,Golden Globes
54,2009,The Reader,In Bruges,Frank Langella,Dustin Hoffman,Philip Seymour Hoffman,Angelina Jolie,Meryl Streep,Viola Davis,False,Golden Globes
55,2009,Revolutionary Road,Mamma Mia!,Sean Penn,Javier Bardem,Tom Cruise,Kristin Scott Thomas,Emma Thompson,Marisa Tomei,False,Golden Globes
56,2008,Atonement,Sweeney Todd: The Demon Barber of Fleet Street,Daniel Day-Lewis,Johnny Depp,Javier Bardem,Julie Christie,Marion Cotillard,Cate Blanchett,True,Golden Globes
57,2008,Michael Clayton,Across The Universe,Denzel Washington,Ryan Gosling,Philip Seymour Hoffman,Cate Blanchett,Nikki Blonsky,Julia Roberts,False,Golden Globes
58,2008,No Country for Old Men,Charlie Wilson's War,George Clooney,Tom Hanks,John Travolta,Jodie Foster,Amy Adams,Saoirse Ronan,False,Golden Globes
59,2008,There Will Be Blood,Hairspray,James McAvoy,Philip Seymour Hoffman,Tom Wilkinson,Angelina Jolie,Helena Bonham Carter,Amy Ryan,False,Golden Globes
60,2008,American Gangster,Juno,Viggo Mortensen,John C. Reilly,Casey Affleck,Keira Knightley,Ellen Page,Tilda Swinton,False,Golden Globes
61,2008,Eastern Promises,na,na,na,na,na,na,na,False,Golden Globes
62,2008,The Great Debaters,na,na,na,na,na,na,na,False,Golden Globes
63,2007,Babel,Dreamgirls,Forest Whitaker,Sacha Baron Cohen,Eddie Murphy,Helen Mirren,Meryl Streep,Jennifer Hudson,True,Golden Globes
64,2007,Bobby,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,Leonardo DiCaprio,Chiwetel Ejiofor,Mark Wahlberg,Penélope Cruz,Annette Bening,Adriana Barraza,False,Golden Globes
65,2007,The Departed,The Devil Wears Prada,Leonardo DiCaprio,Will Ferrell,Ben Affleck,Judi Dench,Toni Collette,Cate Blanchett,False,Golden Globes
66,2007,Little Children,Little Miss Sunshine,Peter O'Toole,Johnny Depp,Jack Nicholson,Maggie Gyllenhaal,Beyoncé,Emily Blunt,False,Golden Globes
67,2007,The Queen,Thank You For Smoking,Will Smith,Aaron Eckhart,Brad Pitt,Kate Winslet,Renée Zellweger,Rinko Kikuchi,False,Golden Globes
68,2006,Brokeback Mountain,Walk The Line,Philip Seymour Hoffman,Joaquin Phoenix,George Clooney,Felicity Huffman,Reese Witherspoon,Rachel Weisz,True,Golden Globes
69,2006,The Constant Gardener,Pride & Prejudice,Russell Crowe,Pierce Brosnan,Matt Dillon,Gwyneth Paltrow,Judi Dench,Scarlett Johansson,False,Golden Globes
70,2006,"Good Night, and Good Luck",The Producers,Terrence Howard,Jeff Daniels,Will Ferrell,Charlize Theron,Keira Knightley,Shirley MacLaine,False,Golden Globes
71,2006,A History of Violence,The Squid and the Whale,Heath Ledger,Johnny Depp,Paul Giamatti,Ziyi Zhang,Laura Linney,Frances McDormand,False,Golden Globes
72,2006,Match Point,Mrs. Henderson Presents,David Strathairn,Nathan Lane,Bob Hoskins,Maria Bello,Sarah Jessica Parker,Michelle Williams,False,Golden Globes
73,2006,na,na,na,Cillian Murphy,na,na,na,na,False,Golden Globes
74,2005,The Aviator,Sideways,Leonardo DiCaprio,Jamie Foxx,Clive Owen,Hilary Swank,Annette Bening,Natalie Portman,True,Golden Globes
75,2005,Closer,Eternal Sunshine of The Spotless Mind,Javier Bardem,Jim Carrey,David Carradine,Scarlett Johansson,Emmy Rossum,Cate Blanchett,False,Golden Globes
76,2005,Finding Neverland,The Incredibles,Don Cheadle,Paul Giamatti,Thomas Haden Church,Nicole Kidman,Ashley Judd,Laura Linney,False,Golden Globes
77,2005,Hotel Rwanda,Ray,Johnny Depp,Kevin Kline,Jamie Foxx,Imelda Staunton,Renée Zellweger,Virginia Madsen,False,Golden Globes
78,2005,Kinsey,The Phantom of the Opera,Liam Neeson,Kevin Spacey,Morgan Freeman,Uma Thurman,Kate Winslet,Meryl Streep,False,Golden Globes
79,2005,Million Dollar Baby,na,na,na,na,na,na,na,False,Golden Globes
80,2004,The Lord of the Rings: The Return of the King,Lost in Translation,Sean Penn,Bill Murray,Tim Robbins,Charlize Theron,Diane Keaton,Renée Zellweger,True,Golden Globes
81,2004,Cold Mountain,Bend It Like Beckham,Russell Crowe,Billy Bob Thornton,Ken Watanabe,Cate Blanchett,Jamie Lee Curtis,Patricia Clarkson,False,Golden Globes
82,2004,Master and Commander: The Far Side of the World,Big Fish,Tom Cruise,Jack Black,Alec Baldwin,Scarlett Johansson,Scarlett Johansson,Hope Davis,False,Golden Globes
83,2004,Mystic River,Finding Nemo,Ben Kingsley,Johnny Depp,Albert Finney,Nicole Kidman,Diane Lane,Holly Hunter,False,Golden Globes
84,2004,Seabiscuit,Love Actually,Jude Law,Jack Nicholson,William H. Macy,Uma Thurman,Helen Mirren,Maria Bello,False,Golden Globes
85,2004,na,na,na,na,Peter Sarsgaard,Evan Rachel Wood,na,na,False,Golden Globes
86,2003,The Hours,Chicago,Jack Nicholson,Richard Gere,Chris Cooper,Nicole Kidman,Renée Zellweger,Meryl Streep,True,Golden Globes
87,2003,About Schmidt,About a Boy,Adrien Brody,Nicolas Cage,Ed Harris,Julianne Moore,Catherine Zeta-Jones,Kathy Bates,False,Golden Globes
88,2003,Gangs of New York,Adaptation,Michael Caine,Kieran Culkin,Paul Newman,Meryl Streep,Maggie Gyllenhaal,Cameron Diaz,False,Golden Globes
89,2003,The Lord of the Rings: The Two Towers,My Big Fat Greek Wedding,Daniel Day-Lewis,Hugh Grant,Dennis Quaid,Salma Hayek,Goldie Hawn,Queen Latifah,False,Golden Globes
90,2003,The Pianist,Nicholas Nickleby,Leonardo DiCaprio,Adam Sandler,John C. Reilly,Diane Lane,Nia Vardalos,Susan Sarandon,False,Golden Globes
91,2002,A Beautiful Mind,Moulin Rouge!,Russell Crowe,Gene Hackman,Jim Broadbent,Sissy Spacek,Nicole Kidman,Jennifer Connelly,True,Golden Globes
92,2002,In the Bedroom,Bridget Jones's Diary,Denzel Washington,Hugh Jackman,Steve Buscemi,Halle Berry,Thora Birch,Helen Mirren,False,Golden Globes
93,2002,The Lord of the Rings: The Fellowship of the Ring,Gosford Park,Kevin Spacey,Ewan McGregor,Hayden Christensen,Judi Dench,Cate Blanchett,Maggie Smith,False,Golden Globes
94,2002,The Man Who Wasn't There,Legally Blonde,Will Smith,John Cameron Mitchell,Ben Kingsley,Nicole Kidman,Reese Witherspoon,Marisa Tomei,False,Golden Globes
95,2002,Mulholland Dr.,Shrek,Billy Bob Thornton,Billy Bob Thornton,Jude Law,The Deep End,Renée Zellweger,Kate Winslet,False,Golden Globes
96,2002,na,na,na,na,Jon Voight,na,na,Cameron Diaz,False,Golden Globes
97,2001,Gladiator,Almost Famous,Tom Hanks,George Clooney,Benicio del Toro,Julia Roberts,Renée Zellweger,Kate Hudson,True,Golden Globes
98,2001,Wonder Boys,Best in Show,Geoffrey Rush,Mel Gibson,Jeff Bridges,Joan Allen,Juliette Binoche,Judi Dench,False,Golden Globes
99,2001,Billy Elliot,Chicken Run,Javier Bardem,Jim Carrey,Willem Dafoe,Björk,Brenda Blethyn,Frances McDormand,False,Golden Globes
100,2001,Erin Brockovich,Chocolat,Russell Crowe,John Cusack,Albert Finney,Ellen Burstyn,Sandra Bullock,Julie Walters,False,Golden Globes
101,2001,Sunshine,"O Brother, Where Art Thou?",Michael Douglas,Robert De Niro,Joaquin Phoenix,Laura Linney,Tracey Ullman,Catherine Zeta-Jones,False,Golden Globes
102,2001,Traffic,na,na,na,na,na,na,na,False,Golden Globes
103,2000,American Beauty,Toy Story 2,Denzel Washington,Jim Carrey,Tom Cruise,Hilary Swank,Janet McTeer,Angelina Jolie,True,Golden Globes
104,2000,The End of the Affair,Being John Malkovich,Russell Crowe,Robert De Niro,Michael Caine,Julianne Moore,Reese Witherspoon,Chloë Sevigny,False,Golden Globes
105,2000,"Hurricane, The",Man on the Moon,Matt Damon,Rupert Everett,Michael Clarke Duncan,Meryl Streep,Julianne Moore,Cameron Diaz,False,Golden Globes
106,2000,The Insider,Notting Hill,Richard Farnsworth,Hugh Grant,Jude Law,Sigourney Weaver,Julia Roberts,Catherine Keener,False,Golden Globes
107,2000,The Talented Mr. Ripley,Analyze This,Kevin Spacey,Sean Penn,Haley Joel Osment,Annette Bening,Sharon Stone,Samantha Morton,False,Golden Globes
108,2000,na,na,na,na,na,na,na,Natalie Portman,False,Golden Globes
109,1999,Saving Private Ryan,Shakespeare in Love,Jim Carrey,Michael Caine,Ed Harris,Cate Blanchett,Gwyneth Paltrow,Lynn Redgrave,True,Golden Globes
110,1999,Elizabeth,"Mask of Zorro, The",Stephen Fry,Robin Williams,Billy Bob Thornton,Susan Sarandon,Cameron Diaz,Kathy Bates,False,Golden Globes
111,1999,Gods and Monsters,Patch Adams,Tom Hanks,Antonio Banderas,Robert Duvall,Meryl Streep,Jane Horrocks,Brenda Blethyn,False,Golden Globes
112,1999,The Horse Whisperer,Still Crazy,Ian McKellen,Warren Beatty,Bill Murray,Emily Watson,Christina Ricci,Judi Dench,False,Golden Globes
113,1999,The Truman Show,There's Something About Mary,Nick Nolte,John Travolta,Geoffrey Rush,Fernanda Montenegro,Meg Ryan,Sharon Stone,False,Golden Globes
114,1999,na,Bulworth,na,na,Donald Sutherland,na,na,na,False,Golden Globes
115,1998,Titanic,As Good as It Gets,Peter Fonda,Jack Nicholson,Burt Reynolds,Judi Dench,Helen Hunt,Kim Basinger,True,Golden Globes
116,1998,Amistad,The Full Monty,Djimon Hounsou,Jim Carrey,Rupert Everett,Helena Bonham Carter,Joey Lauren Adams,Julianne Moore,False,Golden Globes
117,1998,The Boxer,Men in Black,Matt Damon,Dustin Hoffman,Anthony Hopkins,Jodie Foster,Pam Grier,Gloria Stuart,False,Golden Globes
118,1998,Good Will Hunting,My Best Friend's Wedding,Daniel Day-Lewis,Samuel L. Jackson,Greg Kinnear,Jessica Lange,Jennifer Lopez,Sigourney Weaver,False,Golden Globes
119,1998,L.A. Confidential,Wag the Dog,Leonardo DiCaprio,Kevin Kline,Jon Voight,Kate Winslet,Julia Roberts,Joan Cusack,False,Golden Globes
120,1998,na,na,na,na,Robin Williams,na,na,na,False,Golden Globes
121,1997,The English Patient,Evita,Geoffrey Rush,Tom Cruise,Edward Norton,Brenda Blethyn,Madonna,Lauren Bacall,True,Golden Globes
122,1997,The People vs. Larry Flynt,The Birdcage,Ralph Fiennes,Antonio Banderas,Cuba Gooding Jr.,Courtney Love,Barbra Streisand,Marion Ross,False,Golden Globes
123,1997,Secrets & Lies,Everyone Says I Love You,Mel Gibson,Kevin Costner,Samuel L. Jackson,Kristin Scott Thomas,Glenn Close,Joan Allen,False,Golden Globes
124,1997,Shine,Fargo,Woody Harrelson,Nathan Lane,Paul Scofield,Meryl Streep,Frances McDormand,Juliette Binoche,False,Golden Globes
125,1997,Breaking the Waves,Jerry Maguire,Liam Neeson,Eddie Murphy,James Woods,Emily Watson,Debbie Reynolds,Barbara Hershey,False,Golden Globes
126,1997,na,na,na,na,na,na,na,Marianne Jean-Baptiste,False,Golden Globes
127,1996,Sense and Sensibility,Babe,Nicolas Cage,John Travolta,Brad Pitt,Sharon Stone,Nicole Kidman,Mira Sorvino,True,Golden Globes
128,1996,Apollo 13,The American President,Sean Penn,Harrison Ford,John Leguizamo,Susan Sarandon,Annette Bening,Anjelica Huston,False,Golden Globes
129,1996,Braveheart,Get Shorty,Richard Dreyfuss,Steve Martin,Tim Roth,Elisabeth Shue,Sandra Bullock,Kathleen Quinlan,False,Golden Globes
130,1996,The Bridges of Madison County,Sabrina,Anthony Hopkins,Patrick Swayze,Kevin Spacey,Meryl Streep,Toni Collette,Kyra Sedgwick,False,Golden Globes
131,1996,Leaving Las Vegas,Toy Story,Ian McKellen,Michael Douglas,Ed Harris,Emma Thompson,Vanessa Redgrave,Kate Winslet,False,Golden Globes
132,1995,Forrest Gump,The Lion King,Tom Hanks,Hugh Grant,Martin Landau,Jessica Lange,Jamie Lee Curtis,Dianne Wiest,True,Golden Globes
133,1995,Nell,"The Adventures of Priscilla, Queen of the Desert",Morgan Freeman,Terence Stamp,Kevin Bacon,Jodie Foster,Geena Davis,Kirsten Dunst,False,Golden Globes
134,1995,Pulp Fiction,Ed Wood,Paul Newman,Jim Carrey,Samuel L. Jackson,Jennifer Jason Leigh,Andie MacDowell,Sophia Loren,False,Golden Globes
135,1995,Quiz Show,Four Weddings and a Funeral,Brad Pitt,Johnny Depp,Gary Sinise,Miranda Richardson,Shirley MacLaine,Uma Thurman,False,Golden Globes
136,1995,Legends of the Fall,Ready to Wear,John Travolta,Arnold Schwarzenegger,John Turturro,Meryl Streep,Emma Thompson,Robin Wright,False,Golden Globes
