,index,category,year,win,entity
1,1,best_picture_cast,2011,False,['Black Swan']
2,2,best_picture_cast,2011,False,['The Fighter']
3,3,best_picture_cast,2011,False,['The Kids Are All Right']
4,4,best_picture_cast,2011,False,['The Social Network']
5,0,best_actress,2011,True,['Natalie Portman']
6,1,best_actress,2011,False,['Annette Bening']
7,2,best_actress,2011,False,['Nicole Kidman']
8,3,best_actress,2011,False,['Jennifer Lawrence']
9,4,best_actress,2011,False,['Hilary Swank']
10,0,best_actor,2011,True,['Colin Firth']
11,1,best_actor,2011,False,['Jeff Bridges']
12,2,best_actor,2011,False,['Robert Duvall']
13,3,best_actor,2011,False,['Jesse Eisenberg']
14,4,best_actor,2011,False,['James Franco']
15,0,support_actress,2011,True,['Melissa Leo']
16,1,support_actress,2011,False,['Amy Adams']
17,2,support_actress,2011,False,['Helena Bonham Carter']
18,3,support_actress,2011,False,['Mila Kunis']
19,4,support_actress,2011,False,['Hailee Steinfeld']
20,0,support_actor,2011,True,['Christian Bale']
21,1,support_actor,2011,False,['John Hawkes']
22,2,support_actor,2011,False,['Jeremy Renner']
23,3,support_actor,2011,False,['Mark Ruffalo']
24,4,support_actor,2011,False,['Geoffrey Rush']
0,0,best_picture_cast,2010,True,['Inglourious Basterds']
1,1,best_picture_cast,2010,False,['An Education']
2,2,best_picture_cast,2010,False,['The Hurt Locker']
3,3,best_picture_cast,2010,False,['Nine']
4,4,best_picture_cast,2010,False,"['Precious: Based on the Novel ""Push"" by Sapphire']"
5,0,best_actress,2010,True,['Jeff Bridges']
6,1,best_actress,2010,False,['George Clooney']
7,2,best_actress,2010,False,['Colin Firth']
8,3,best_actress,2010,False,['Morgan Freeman']
9,4,best_actress,2010,False,['Jeremy Renner']
10,0,best_actor,2010,True,['Sandra Bullock']
11,1,best_actor,2010,False,['Helen Mirren']
12,2,best_actor,2010,False,['Carey Mulligan']
13,3,best_actor,2010,False,['Gabourey Sidibe']
14,4,best_actor,2010,False,['Meryl Streep']
15,0,support_actress,2010,True,"[""Mo'Nique""]"
16,1,support_actress,2010,False,['Penélope Cruz']
17,2,support_actress,2010,False,['Vera Farminga']
