,category,year,win,entity
6,best_picture - comedy,2012,True,The Artist
7,best_picture - comedy,2012,False,50/50
8,best_picture - comedy,2012,False,Bridesmaids
9,best_picture - comedy,2012,False,Midnight In Paris
10,best_picture - comedy,2012,False,My Week With Marilyn
11,best_picture - comedy,2012,False,nan
12,best_actress_drama,2012,True,Meryl Streep
13,best_actress_drama,2012,False,Glenn Close
14,best_actress_drama,2012,False,Viola Davis
15,best_actress_drama,2012,False,Rooney Mara
16,best_actress_drama,2012,False,Tilda Swinton
17,best_actress_drama,2012,False,nan
18,best_actor_drama,2012,True,George Clooney
19,best_actor_drama,2012,False,Ryan Gosling
20,best_actor_drama,2012,False,Brad Pitt
21,best_actor_drama,2012,False,Leonardo DiCaprio
22,best_actor_drama,2012,False,Michael Fassbender
23,best_actor_drama,2012,False,nan
24,best_actress_comedy,2012,True,Michelle Williams
25,best_actress_comedy,2012,False,Kate Winslet
26,best_actress_comedy,2012,False,Jodie Foster
27,best_actress_comedy,2012,False,Charlize Theron
28,best_actress_comedy,2012,False,Kristen Wiig
29,best_actress_comedy,2012,False,nan
30,best_actor_comedy,2012,True,Jean Dujardin
31,best_actor_comedy,2012,False,Brendan Gleeson
32,best_actor_comedy,2012,False,Joseph Gordon-Levitt
33,best_actor_comedy,2012,False,Ryan Gosling
34,best_actor_comedy,2012,False,Owen Wilson
35,best_actor_comedy,2012,False,na
36,support_actress,2012,True,Octavia Spencer
37,support_actress,2012,False,Shailene Woodley
38,support_actress,2012,False,Bérénice Bejo
39,support_actress,2012,False,Jessica Chastain
40,support_actress,2012,False,Janet McTeer
41,support_actress,2012,False,nan
42,support_actor,2012,True,Christopher Plummer
43,support_actor,2012,False,Kenneth Branagh
44,support_actor,2012,False,Albert Brooks
45,support_actor,2012,False,Jonah Hill
46,support_actor,2012,False,Viggo Mortensen
47,support_actor,2012,False,nan
0,best_picture - drama,2011,True,The Social Network
1,best_picture - drama,2011,False,Black Swan
2,best_picture - drama,2011,False,"Fighter,  The"
3,best_picture - drama,2011,False,Inception
4,best_picture - drama,2011,False,The King's Speech
5,best_picture - comedy,2011,True,"Kids Are All Right,  The"
6,best_picture - comedy,2011,False,Burlesque
7,best_picture - comedy,2011,False,Red
8,best_picture - comedy,2011,False,"Tourist,  The"
9,best_picture - comedy,2011,False,Alice in Wonderland
10,best_actress_drama,2011,True,Natalie Portman
11,best_actress_drama,2011,False,Nicole Kidman
12,best_actress_drama,2011,False,Jennifer Lawrence
13,best_actress_drama,2011,False,Michelle Williams
14,best_actress_drama,2011,False,Halle Berry
15,best_actor_drama,2011,True,Colin Firth
16,best_actor_drama,2011,False,Jesse Eisenberg
17,best_actor_drama,2011,False,James Franco
18,best_actor_drama,2011,False,Ryan Gosling
19,best_actor_drama,2011,False,Mark Wahlberg
20,best_actress_comedy,2011,True,Annette Bening
21,best_actress_comedy,2011,False,Anne Hathaway
22,best_actress_comedy,2011,False,Angelina Jolie
23,best_actress_comedy,2011,False,Julianne Moore
24,best_actress_comedy,2011,False,Emma Stone
25,best_actor_comedy,2011,True,Paul Giamatti
26,best_actor_comedy,2011,False,Johnny Depp
27,best_actor_comedy,2011,False,Johnny Depp
28,best_actor_comedy,2011,False,Jake Gyllenhaal
29,best_actor_comedy,2011,False,Kevin Spacey
30,support_actress,2011,True,Melissa Leo
31,support_actress,2011,False,Helena Bonham Carter
32,support_actress,2011,False,Mila Kunis
33,support_actress,2011,False,Jacki Weaver
34,support_actress,2011,False,Amy Adams
35,support_actor,2011,True,Christian Bale
36,support_actor,2011,False,Michael Douglas
37,support_actor,2011,False,Andrew Garfield
38,support_actor,2011,False,Jeremy Renner
39,support_actor,2011,False,Geoffrey Rush
0,best_picture - drama,2010,True,Avatar
1,best_picture - drama,2010,False,"Hurt Locker,  The"
2,best_picture - drama,2010,False,Inglourious Basterds
3,best_picture - drama,2010,False,Precious: Based On The Novel Push By Sapphire
4,best_picture - drama,2010,False,Up In The Air
5,best_picture - comedy,2010,True,"Hangover,  The"
6,best_picture - comedy,2010,False,It's Complicated
7,best_picture - comedy,2010,False,Julie & Julia
8,best_picture - comedy,2010,False,Nine
9,best_picture - comedy,2010,False,(500) Days of Summer
10,best_actress_drama,2010,True,Sandra Bullock
11,best_actress_drama,2010,False,Helen Mirren
12,best_actress_drama,2010,False,Carey Mulligan
13,best_actress_drama,2010,False,Gabourey Sidibe
14,best_actress_drama,2010,False,Emily Blunt
15,best_actor_drama,2010,True,Jeff Bridges
16,best_actor_drama,2010,False,George Clooney
17,best_actor_drama,2010,False,Colin Firth
18,best_actor_drama,2010,False,Morgan Freeman
19,best_actor_drama,2010,False,Tobey Maguire
20,best_actress_comedy,2010,True,Meryl Streep
21,best_actress_comedy,2010,False,Sandra Bullock
22,best_actress_comedy,2010,False,Marion Cotillard
23,best_actress_comedy,2010,False,Julia Roberts
24,best_actress_comedy,2010,False,Meryl Streep
25,best_actor_comedy,2010,True,Robert Downey Jr.
26,best_actor_comedy,2010,False,Daniel Day-Lewis
27,best_actor_comedy,2010,False,Joseph Gordon-Levitt
28,best_actor_comedy,2010,False,Michael Stuhlbarg
29,best_actor_comedy,2010,False,Matt Damon
30,support_actress,2010,True,Mo'Nique
31,support_actress,2010,False,Penélope Cruz
32,support_actress,2010,False,Vera Farmiga
33,support_actress,2010,False,Anna Kendrick
34,support_actress,2010,False,Julianne Moore
35,support_actor,2010,True,Christoph Waltz
36,support_actor,2010,False,Woody Harrelson
37,support_actor,2010,False,Christopher Plummer
38,support_actor,2010,False,Stanley Tucci
39,support_actor,2010,False,Matt Damon
0,best_picture - drama,2009,True,Slumdog Millionaire
1,best_picture - drama,2009,False,Frost/Nixon
2,best_picture - drama,2009,False,"Reader,  The"
3,best_picture - drama,2009,False,Revolutionary Road
4,best_picture - drama,2009,False,The Curious Case of Benjamin Button
5,best_picture - comedy,2009,True,Vicky Cristina Barcelona
6,best_picture - comedy,2009,False,Burn After Reading
7,best_picture - comedy,2009,False,Happy-Go-Lucky
8,best_picture - comedy,2009,False,In Bruges
9,best_picture - comedy,2009,False,Mamma Mia!
10,best_actress_drama,2009,True,Kate Winslet
11,best_actress_drama,2009,False,Meryl Streep
12,best_actress_drama,2009,False,Anne Hathaway
13,best_actress_drama,2009,False,Angelina Jolie
14,best_actress_drama,2009,False,Kristin Scott Thomas
15,best_actor_drama,2009,True,Mickey Rourke
16,best_actor_drama,2009,False,Leonardo DiCaprio
17,best_actor_drama,2009,False,Frank Langella
18,best_actor_drama,2009,False,Sean Penn
19,best_actor_drama,2009,False,Brad Pitt
20,best_actress_comedy,2009,True,Sally Hawkins
21,best_actress_comedy,2009,False,Rebecca Hall
22,best_actress_comedy,2009,False,Frances McDormand
23,best_actress_comedy,2009,False,Meryl Streep
24,best_actress_comedy,2009,False,Emma Thompson
25,best_actor_comedy,2009,True,Colin Farrell
26,best_actor_comedy,2009,False,Javier Bardem
27,best_actor_comedy,2009,False,James Franco
28,best_actor_comedy,2009,False,Brendan Gleeson
29,best_actor_comedy,2009,False,Dustin Hoffman
30,support_actress,2009,True,Kate Winslet
31,support_actress,2009,False,Penélope Cruz
32,support_actress,2009,False,Viola Davis
33,support_actress,2009,False,Marisa Tomei
34,support_actress,2009,False,Amy Adams
35,support_actor,2009,True,Heath Ledger
36,support_actor,2009,False,Tom Cruise
37,support_actor,2009,False,Robert Downey Jr.
38,support_actor,2009,False,Ralph Fiennes
39,support_actor,2009,False,Philip Seymour Hoffman
0,best_picture - drama,2008,True,Atonement
1,best_picture - drama,2008,False,Michael Clayton
2,best_picture - drama,2008,False,No Country for Old Men
3,best_picture - drama,2008,False,There Will Be Blood
4,best_picture - drama,2008,False,American Gangster
5,best_picture - drama,2008,False,Eastern Promises
6,best_picture - drama,2008,False,The Great Debaters
7,best_picture - comedy,2008,True,Sweeney Todd: The Demon Barber of Fleet Street
8,best_picture - comedy,2008,False,Across The Universe
9,best_picture - comedy,2008,False,Charlie Wilson's War
10,best_picture - comedy,2008,False,Hairspray
11,best_picture - comedy,2008,False,Juno
12,best_picture - comedy,2008,False,na
13,best_picture - comedy,2008,False,na
14,best_actress_drama,2008,True,Julie Christie
15,best_actress_drama,2008,False,Cate Blanchett
16,best_actress_drama,2008,False,Jodie Foster
17,best_actress_drama,2008,False,Angelina Jolie
18,best_actress_drama,2008,False,Keira Knightley
19,best_actress_drama,2008,False,na
20,best_actress_drama,2008,False,na
21,best_actor_drama,2008,True,Daniel Day-Lewis
22,best_actor_drama,2008,False,Denzel Washington
23,best_actor_drama,2008,False,George Clooney
24,best_actor_drama,2008,False,James McAvoy
25,best_actor_drama,2008,False,Viggo Mortensen
26,best_actor_drama,2008,False,na
27,best_actor_drama,2008,False,na
28,best_actress_comedy,2008,True,Marion Cotillard
29,best_actress_comedy,2008,False,Nikki Blonsky
30,best_actress_comedy,2008,False,Amy Adams
31,best_actress_comedy,2008,False,Helena Bonham Carter
32,best_actress_comedy,2008,False,Ellen Page
33,best_actress_comedy,2008,False,na
34,best_actress_comedy,2008,False,na
35,best_actor_comedy,2008,True,Johnny Depp
36,best_actor_comedy,2008,False,Ryan Gosling
37,best_actor_comedy,2008,False,Tom Hanks
38,best_actor_comedy,2008,False,Philip Seymour Hoffman
39,best_actor_comedy,2008,False,John C. Reilly
40,best_actor_comedy,2008,False,na
41,best_actor_comedy,2008,False,na
42,support_actress,2008,True,Cate Blanchett
43,support_actress,2008,False,Julia Roberts
44,support_actress,2008,False,Saoirse Ronan
45,support_actress,2008,False,Amy Ryan
46,support_actress,2008,False,Tilda Swinton
47,support_actress,2008,False,na
48,support_actress,2008,False,na
49,support_actor,2008,True,Javier Bardem
50,support_actor,2008,False,Philip Seymour Hoffman
51,support_actor,2008,False,John Travolta
52,support_actor,2008,False,Tom Wilkinson
53,support_actor,2008,False,Casey Affleck
54,support_actor,2008,False,na
55,support_actor,2008,False,na
0,best_picture - drama,2007,True,Babel
1,best_picture - drama,2007,False,Bobby
2,best_picture - drama,2007,False,"Departed,  The"
3,best_picture - drama,2007,False,Little Children
4,best_picture - drama,2007,False,"Queen,  The"
5,best_picture - comedy,2007,True,Dreamgirls
6,best_picture - comedy,2007,False,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan
7,best_picture - comedy,2007,False,"Devil Wears Prada,  The"
8,best_picture - comedy,2007,False,Little Miss Sunshine
9,best_picture - comedy,2007,False,Thank You For Smoking
10,best_actress_drama,2007,True,Helen Mirren
11,best_actress_drama,2007,False,Penélope Cruz
12,best_actress_drama,2007,False,Judi Dench
13,best_actress_drama,2007,False,Maggie Gyllenhaal
14,best_actress_drama,2007,False,Kate Winslet
15,best_actor_drama,2007,True,Forest Whitaker
16,best_actor_drama,2007,False,Leonardo DiCaprio
17,best_actor_drama,2007,False,Leonardo DiCaprio
18,best_actor_drama,2007,False,Peter O'Toole
19,best_actor_drama,2007,False,Will Smith
20,best_actress_comedy,2007,True,Meryl Streep
21,best_actress_comedy,2007,False,Annette Bening
22,best_actress_comedy,2007,False,Toni Collette
23,best_actress_comedy,2007,False,Beyoncé
24,best_actress_comedy,2007,False,Renée Zellweger
25,best_actor_comedy,2007,True,Sacha Baron Cohen
26,best_actor_comedy,2007,False,Johnny Depp
27,best_actor_comedy,2007,False,Aaron Eckhart
28,best_actor_comedy,2007,False,Chiwetel Ejiofor
29,best_actor_comedy,2007,False,Will Ferrell
30,support_actress,2007,True,Jennifer Hudson
31,support_actress,2007,False,Adriana Barraza
32,support_actress,2007,False,Cate Blanchett
33,support_actress,2007,False,Emily Blunt
34,support_actress,2007,False,Rinko Kikuchi
35,support_actor,2007,True,Eddie Murphy
36,support_actor,2007,False,Jack Nicholson
37,support_actor,2007,False,Brad Pitt
38,support_actor,2007,False,Mark Wahlberg
39,support_actor,2007,False,Ben Affleck
0,best_picture - drama,2006,True,Brokeback Mountain
1,best_picture - drama,2006,False,The Constant Gardener
2,best_picture - drama,2006,False,"Good Night,  and Good Luck"
3,best_picture - drama,2006,False,A History of Violence
4,best_picture - drama,2006,False,Match Point
5,best_picture - drama,2006,False,na
6,best_picture - comedy,2006,True,Walk The Line
7,best_picture - comedy,2006,False,Pride & Prejudice
8,best_picture - comedy,2006,False,The Producers
9,best_picture - comedy,2006,False,The Squid and the Whale
10,best_picture - comedy,2006,False,Mrs. Henderson Presents
11,best_picture - comedy,2006,False,na
12,best_actress_drama,2006,True,Felicity Huffman
13,best_actress_drama,2006,False,Gwyneth Paltrow
14,best_actress_drama,2006,False,Charlize Theron
15,best_actress_drama,2006,False,Ziyi Zhang
16,best_actress_drama,2006,False,Maria Bello
17,best_actress_drama,2006,False,na
18,best_actor_drama,2006,True,Philip Seymour Hoffman
19,best_actor_drama,2006,False,Russell Crowe
20,best_actor_drama,2006,False,Terrence Howard
